"";"X";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"7590";7590;"governo tenta manter agenda votacoes no congresso para mostrar normalida umrei timbeta rt sdv";FALSE;0;NA;"2017-05-22 17:36:36";FALSE;NA;866709394230259712;NA;"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>";"lucas_simoesrj";0;FALSE;FALSE;NA;NA
"7591";7591;"equipe paraibana conquista terceiro lugar no trofeu brasil saltos�ornamentais";FALSE;0;NA;"2017-05-22 17:36:36";FALSE;NA;866709394121261056;NA;"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>";"ANoticia_TV";0;FALSE;FALSE;NA;NA
"7592";7592;"rt borrachosdosul ha exatos 20 anos o gremio calava o maracana e era tri campeao do brasil";FALSE;0;NA;"2017-05-22 17:36:36";FALSE;NA;866709392665833472;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"wnfreitass_";31;TRUE;FALSE;NA;NA
"7593";7593;"camzflolo isso q e amiga brasil";FALSE;2;"camzflolo";"2017-05-22 17:36:36";FALSE;866708228037541888;866709391764066304;834244628710821888;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"JCopolillo";0;FALSE;FALSE;NA;NA
"7594";7594;"rt mestresascensio temer re globo safia o brasil e diz se quiserem me rrubem";FALSE;0;NA;"2017-05-22 17:36:35";FALSE;NA;866709390254116864;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"lucianocmagalha";3;TRUE;FALSE;NA;NA
"7595";7595;"feliz diadoabraco abrace o legado amor do anjo bom do brasiledu00a0u00bdu00b3u00b1acesse";FALSE;5;NA;"2017-05-22 17:36:35";FALSE;NA;866709390061076480;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"obrasirmadulce";4;FALSE;FALSE;NA;NA
"7596";7596;"rt cc1loveonly2017 i have questions teve o but mais alto no spotify do brasil em 50 com quase 100 mil reproducoes ontem o fandom�";FALSE;0;NA;"2017-05-22 17:36:35";FALSE;NA;866709390056968192;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"21_JessicaA";115;TRUE;FALSE;NA;NA
"7597";7597;"via el pais brasil em 12 meses dobrou o numero pessoas que so pom ser investigadas apos aval algum";FALSE;0;NA;"2017-05-22 17:36:35";FALSE;NA;866709388719001600;NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"rbscamba";0;FALSE;FALSE;NA;NA
"7598";7598;"atencao fiat faz recall 70740 carros no brasil por feito que po causar acintes edu00a0u00bdu00bau0098u26a0ufe0fu27a1ufe0f�";FALSE;3;NA;"2017-05-22 17:36:35";TRUE;NA;866709387972313088;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"gazetaonline";2;FALSE;FALSE;NA;NA
"7599";7599;"rt gtnmsp 52 coisas que voce nao sabia sobre a ditadura militar brasileira";FALSE;0;NA;"2017-05-22 17:36:35";FALSE;NA;866709387771084800;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"fabianacecin";42;TRUE;FALSE;NA;NA
"7600";7600;"rt 5hnewsbrasil ally estara presente no efashionpolice comentando sobre os looks da bbmas hoje meia noite online e amanha 21h ca�";FALSE;0;NA;"2017-05-22 17:36:35";FALSE;NA;866709387632664576;NA;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";"fairyhxrmony";56;TRUE;FALSE;NA;NA
"7601";7601;"rt jornalextra mae e connada a pena maior que reus da lavajato por roubar ovos pascoa";FALSE;0;NA;"2017-05-22 17:36:33";FALSE;NA;866709381399891968;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"GuiEirado";110;TRUE;FALSE;NA;NA
"7602";7602;"rt rosemetal222 twittaco 2205 as 18 h todos juntos pelo brasil  panichiraphael anapaulavolei rodrigomoller lobaoeletrico  u2705 d�";FALSE;0;NA;"2017-05-22 17:36:33";FALSE;NA;866709377897689088;NA;"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>";"ValmirGuilherm1";53;TRUE;FALSE;NA;NA
"7603";7603;"rt brunomarcorio teste farmacia para hiv ganha registro no brasil otimas noticias via anvisaoficial ista�";FALSE;0;NA;"2017-05-22 17:36:32";FALSE;NA;866709375632760832;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"grazielazanoni";4;TRUE;FALSE;NA;NA
"7604";7604;"rt walmartgames hoje a ubisoftbrasil divulgou alguns teasers para o farcry5 que sera anunciado em 2605 veja todos os vios em htt�";FALSE;0;NA;"2017-05-22 17:36:32";FALSE;NA;866709374353408000;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Gama_canal";2;TRUE;FALSE;NA;NA
"7605";7605;"rt joaoluisjr eleicoes indiretas para que o brasil nao pare fera o brasil nao so precisa parar como respirar tomar um banho telefon�";FALSE;0;NA;"2017-05-22 17:36:32";FALSE;NA;866709373766307840;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"flyzito";1065;TRUE;FALSE;NA;NA
"7606";7606;"rt whyminsuga eu me amo voces se amam o namjoon lembrou do fanchart do brasil qnd ele mudou a letra eu to chorando muito alguem me�";FALSE;0;NA;"2017-05-22 17:36:30";FALSE;NA;866709367969771520;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"smileparkj";578;TRUE;FALSE;NA;NA
"7607";7607;"rt theweekndbr segura esse 1 no youtube brasil lustforlife";FALSE;0;NA;"2017-05-22 17:36:30";FALSE;NA;866709367491616768;NA;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>";"flaviathaist";22;TRUE;FALSE;NA;NA
"7608";7608;"rt pilima11 maravilha ja no brasil temer entrega tudo aos eua parente na petrobras entregando nossas riquezas a preco tapioca ne�";FALSE;0;NA;"2017-05-22 17:36:30";FALSE;NA;866709366740856832;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"degaucha_inter";2;TRUE;FALSE;NA;NA
"7609";7609;"sem preconceitomas que nao vire moda no brasil tem uns jogadores que eu gosto e ficaria siludida se saissem�";FALSE;1;NA;"2017-05-22 17:36:30";TRUE;NA;866709365600006144;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"CRUZADINHA";0;FALSE;FALSE;NA;NA
"7610";7610;"rt putadoferal aecio lista furnas e frau politica tempo e senhor da razao ";FALSE;0;NA;"2017-05-22 17:36:29";FALSE;NA;866709364295520256;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"PingoNosiisssss";39;TRUE;FALSE;NA;NA
"7611";7611;"rt brasil247 homem da mala era assessor especial operador temer antes ir para a jbs brasil 247 via b�";FALSE;0;NA;"2017-05-22 17:36:29";FALSE;NA;866709361305038848;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"niviaregina";51;TRUE;FALSE;NA;NA
